Date,Actual,LSTM_Predicted
2024-01-17,181.3519287109375,184.26434
2024-01-18,187.25869750976562,183.89476
2024-01-19,190.16737365722656,183.79677
2024-01-22,192.48043823242188,184.00601
2024-01-23,193.7610626220703,184.52861
2024-01-24,193.0860137939453,185.30919
2024-01-25,192.7584228515625,186.20863
2024-01-26,191.0211181640625,187.1414
2024-01-29,190.3361358642578,187.97444
2024-01-30,186.6729736328125,188.66905
2024-01-31,183.0594482421875,189.0618
2024-02-01,185.50155639648438,189.06435
2024-02-02,184.49888610839844,188.90451
2024-02-05,186.31558227539062,188.57333
2024-02-06,187.92381286621094,188.2237
2024-02-07,188.0330047607422,187.94511
2024-02-08,186.95095825195312,187.73494
2024-02-09,187.71632385253906,187.5399
2024-02-12,186.02651977539062,187.40692
2024-02-13,183.92919921875,187.24474
2024-02-14,183.04452514648438,186.98059
2024-02-15,182.7562713623047,186.62016
2024-02-16,181.215576171875,186.19276
2024-02-19,181.215576171875,185.6647
2024-02-20,180.47006225585938,185.09265
2024-02-21,181.22552490234375,184.4789
2024-02-22,183.26319885253906,183.89978
2024-02-23,181.42433166503906,183.4612
2024-02-26,180.0724639892578,183.05467
2024-02-27,181.5336456298828,182.63876
2024-02-28,180.33091735839844,182.30449
2024-02-29,179.6649627685547,181.98184
2024-03-01,178.58148193359375,181.657
2024-03-04,174.0488739013672,181.29662
2024-03-05,169.0987548828125,180.72383
2024-03-06,168.10475158691406,179.81355
2024-03-07,167.9854736328125,178.66556
2024-03-08,169.70509338378906,177.38654
2024-03-11,171.71295166015625,176.14453
2024-03-12,172.1900634765625,175.06999
2024-03-13,170.1027069091797,174.1843
2024-03-14,171.96145629882812,173.38593
2024-03-15,171.583740234375,172.77934
2024-03-18,172.67713928222656,172.31404
2024-03-19,175.02296447753906,172.02274
2024-03-20,177.597412109375,171.97055
2024-03-21,170.3412322998047,172.20158
2024-03-22,171.2457733154297,172.2965
2024-03-25,169.82437133789062,172.35318
2024-03-26,168.6912078857422,172.30222
2024-03-27,172.2695770263672,172.12508
2024-03-28,170.45057678222656,172.02356
2024-03-29,170.45057678222656,171.8865
2024-04-01,169.00929260253906,171.73976
2024-04-02,167.82644653320312,171.52788
2024-04-03,168.63156127929688,171.23026
2024-04-04,167.8065643310547,170.92169
2024-04-05,168.56199645996094,170.57816
2024-04-08,167.43878173828125,170.26173
2024-04-09,168.6514434814453,169.92677
2024-04-10,166.77279663085938,169.65192
2024-04-11,173.98919677734375,169.34514
2024-04-12,175.49017333984375,169.35689
2024-04-15,171.6533203125,169.64339
2024-04-16,168.36318969726562,169.94989
2024-04-17,166.99148559570312,170.12608
2024-04-18,166.0372314453125,170.1433
2024-04-19,164.0094757080078,169.99821
2024-04-22,164.8444366455078,169.64928
2024-04-23,165.8980712890625,169.20807
2024-04-24,168.00535583496094,168.76108
2024-04-25,168.87013244628906,168.4218
2024-04-26,168.28366088867188,168.21155
2024-04-29,172.45846557617188,168.081
2024-04-30,169.30747985839844,168.20464
2024-05-01,168.28366088867188,168.35564
2024-05-02,171.99127197265625,168.48816
2024-05-03,182.27914428710938,168.76544
2024-05-06,180.6191864013672,169.57957
2024-05-07,181.30502319335938,170.6463
2024-05-08,181.64300537109375,171.89786
2024-05-09,183.46200561523438,173.24117
2024-05-10,182.1979217529297,174.6698
2024-05-13,185.4128875732422,176.03069
2024-05-14,186.55752563476562,177.42932
2024-05-15,188.8368682861328,178.8299
2024-05-16,188.95631408691406,180.27025
2024-05-17,188.98617553710938,181.67369
2024-05-20,190.15072631835938,182.99136
2024-05-21,191.4546356201172,184.24132
2024-05-22,190.01138305664062,185.44128
2024-05-23,186.0100860595703,186.48196
2024-05-24,189.0956573486328,187.18604
2024-05-27,189.0956573486328,187.77042
2024-05-28,189.10562133789062,188.22528
2024-05-29,189.40420532226562,188.57048
2024-05-30,190.39956665039062,188.83752
2024-05-31,191.3551025390625,189.08313
2024-06-03,193.12680053710938,189.34473
2024-06-04,193.44532775878906,189.6869
2024-06-05,194.95823669433594,190.08282
2024-06-06,193.57469177246094,190.57161
2024-06-07,195.97349548339844,191.03761
2024-06-10,192.2210235595703,191.58394
2024-06-11,206.1857147216797,191.97963
2024-06-12,212.07820129394534,192.90802
2024-06-13,213.24273681640622,194.38844
2024-06-14,211.50086975097656,196.24644
2024-06-17,215.66140747070312,198.21866
2024-06-18,213.29248046875,200.38658
2024-06-19,213.29248046875,202.4615
2024-06-20,208.70394897460938,204.38518
2024-06-21,206.52416992187503,205.89084
2024-06-24,207.17111206054685,206.94269
2024-06-25,208.0968017578125,207.65184
2024-06-26,212.25733947753906,208.11697
2024-06-27,213.10339355468747,208.57639
2024-06-28,209.6395721435547,209.03435
2024-07-01,215.7410430908203,209.31456
2024-07-02,219.24464416503906,209.76414
2024-07-03,220.51870727539065,210.44713
2024-07-04,220.51870727539065,211.31781
2024-07-05,225.28639221191406,212.28503
2024-07-08,226.75952148437503,213.50504
2024-07-09,227.6155090332031,214.89423
2024-07-10,231.89549255371097,216.37794
2024-07-11,226.5106964111328,218.05965
2024-07-12,229.46685791015625,219.52647
2024-07-15,233.30888366699222,220.94489
2024-07-16,233.7269439697266,222.4191
2024-07-17,227.81459045410156,223.86258
2024-07-18,223.13645935058597,224.93878
2024-07-19,223.26583862304685,225.51701
2024-07-22,222.91749572753906,225.7377
2024-07-23,223.96258544921878,225.66629
2024-07-24,217.522705078125,225.43991
2024-07-25,216.4776153564453,224.80376
2024-07-26,216.94541931152344,223.89763
2024-07-29,217.22412109375,222.86314
