ds,yhat
2020-01-02,73.3298277092904
2020-01-03,73.19086046571344
2020-01-06,72.72324005249445
2020-01-07,72.68862867654438
2020-01-08,72.54401885263815
2020-01-09,72.3350840234094
2020-01-10,72.31859789504061
2020-01-13,72.35169679649391
2020-01-14,72.5196384421626
2020-01-15,72.5901874764051
2020-01-16,72.60548204715906
2020-01-17,72.81856155299604
2020-01-20,73.53324108158378
2020-01-21,73.9127822652482
2020-01-22,74.18064869258586
2020-01-23,74.375290854348
2020-01-24,74.74627854388574
2020-01-27,75.77575258204953
2020-01-28,76.19895503205575
2020-01-29,76.47674675026306
2020-01-30,76.64641445831717
2020-01-31,76.95686219411854
2020-02-03,77.59238260546371
2020-02-04,77.81642561627115
2020-02-05,77.86386667726107
2020-02-06,77.77434785772739
2020-02-07,77.79956733916296
2020-02-10,77.45685118941357
2020-02-11,77.32678807847357
2020-02-12,77.01312917820984
2020-02-13,76.55997007112862
2020-02-14,76.22353606545573
2020-02-17,74.85279355928947
2020-02-18,74.41349800039603
2020-02-19,73.81407025950733
2020-02-20,73.10223167093103
2020-02-21,72.53747706231611
2020-02-24,70.69030733870487
2020-02-25,70.16813860686159
2020-02-26,69.52573390990472
2020-02-27,68.81116340723031
2020-02-28,68.28372218011415
2020-03-02,66.77868891537105
2020-03-03,66.4413769584504
2020-03-04,66.01509376337806
2020-03-05,65.5448004863845
2020-03-06,65.28633453105252
2020-03-09,64.6978213947705
2020-03-10,64.68878483613638
2020-03-11,64.59506631396661
2020-03-12,64.45738394049813
2020-03-13,64.52743644372966
2020-03-16,64.8614433299337
2020-03-17,65.127451475115
2020-03-18,65.28768811669269
2020-03-19,65.38056418158459
2020-03-20,65.65592072432915
2020-03-23,66.44284071631063
2020-03-24,66.80406640786543
2020-03-25,67.03211081191843
2020-03-26,67.1663318505035
2020-03-27,67.45792039822955
2020-03-30,68.16152406548468
2020-03-31,68.45857340087996
2020-04-01,68.60853649611663
2020-04-02,68.6535255401991
2020-04-03,68.84751964772238
2020-04-06,69.23534680629952
2020-04-07,69.42792533546874
2020-04-08,69.47756801150595
2020-04-09,69.42827589408735
2020-04-10,69.53563120710442
2020-04-13,69.72077607291202
2020-04-14,69.86706947721817
2020-04-15,69.88138101656787
2020-04-16,69.8074626103229
2020-04-17,69.90038837778334
2020-04-20,70.0951651654545
2020-04-21,70.2587706485783
2020-04-22,70.29543249316106
2020-04-23,70.24764209461425
2020-04-24,70.36923864253843
2020-04-27,70.65414934994098
2020-04-28,70.84610493719455
2020-04-29,70.90915189093063
2020-04-30,70.88540037505737
2020-05-01,71.02851521600684
2020-05-04,71.36417720872801
2020-05-05,71.56983342914508
2020-05-06,71.6460701025987
2020-05-07,71.63584335958869
2020-05-08,71.7937439408491
2020-05-11,72.19102150303473
2020-05-12,72.42608146494521
2020-05-13,72.53752367164284
2020-05-14,72.56894327640914
2020-05-15,72.77540847512843
2020-05-18,73.36182319662035
2020-05-19,73.67402709388953
2020-05-20,73.86894875499509
2020-05-21,73.98945650443856
2020-05-22,74.28971516750303
2020-05-25,75.174615570592
2020-05-26,75.58784195682122
2020-05-27,75.8823631921148
2020-05-28,76.09976253529993
2020-05-29,76.49299643655385
2020-06-01,77.62322111876308
2020-06-02,78.10455794542153
2020-06-03,78.4596757872133
2020-06-04,78.73012015287695
2020-06-05,79.16907079011118
2020-06-08,80.39854061677887
2020-06-09,80.90351627110446
2020-06-10,81.27964165107053
2020-06-11,81.56993735407096
2020-06-12,82.02914346885915
2020-06-15,83.33759905188569
2020-06-16,83.8799214089694
2020-06-17,84.30102245638903
2020-06-18,84.64487295339131
2020-06-19,85.1668826941308
2020-06-22,86.72096930514921
2020-06-23,87.36298650337787
2020-06-24,87.89110658658237
2020-06-25,88.34778069675902
2020-06-26,88.98654436983637
2020-06-29,90.89116871705002
2020-06-30,91.64118083591141
2020-07-01,92.26802644959763
2020-07-02,92.8111755936589
2020-07-03,93.52124119279456
2020-07-06,95.52207479309816
2020-07-07,96.25744518814795
2020-07-08,96.84351276734307
2020-07-09,97.31878891627512
2020-07-10,97.93347309070022
2020-07-13,99.48781849579716
2020-07-14,100.02551937595015
2020-07-15,100.39329755474176
2020-07-16,100.6327857679583
2020-07-17,100.99780006699253
2020-07-20,101.76197385526768
2020-07-21,102.03799739727349
2020-07-22,102.15302493778921
